id;Acetabularia acetabulum;Alsidium helminthochorton;Amphiroa rigida;Anadyomene stellata;Caulerpa cylindracea;Caulerpa prolifera;Ceramium sp.;Chordaceae non identified;Cladophora prolifera;Cladophora sp;Cymodocea nodosa;Cystoseira s.l. branches;Cystoseira foeniculacea f. tenuiramosa ;Cystoseira pustulata ;Dasycladus vermicularis;Dictyopteris polypodioides;Dictyota sp.;Gelidium pusillum;Gongolaria barbata;Gongolaria montagnei;Halopteris scoparia;Jania virgata;Laurencia sp.;Lophosiphonia sp. 1;Lophosiphonia sp. 2;Padina pavonica;Rytiphlaea tinctoria;Sphacelaria sp.;Stilophora tenella;Valonia utricularis
degraded1;0.2;0;18.475;0;0;0;0;0.025;0;0;0;0;0;0;0;0;2.1;0;0;0;0;5.84125;0;8.38;0;25.46375;0;0;0;0
degraded3;0;0.025;0;0;0;0;0;0;0;0.025;0;0;0;0;0;0;1.925;0;0;0;0;0;0;2.275;0;31.3;0;0;0;0
degraded4;0;0;0;0;0;0;0;0;0;0.025;0.025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.875;0;0;0;0
degraded5;0;5.82875;0.85;0;0;0;0.025;0;0;5.50375;0;0;0;0;0;0;18.50375;0;0;0;0;0;0;17.71125;0;6.1;0;0;0;0
degraded6;0;0;0.225;0;0;0;5.325;0;0;0;1.05875;0;0;0;0;0;7.6175;0;0;0;0;0;0;9.40125;2.025;27.5;0;0;0;0
forest2;0.025;0;0;6;0;0;0;0;0;0.6;0.675;0;0;0;0;0;38.4075;0;260.5225;0.175;0;0;0;0;0;3.425;0.225;13.8325;2.725;0.15
forest3;0.125;0;0;28.775;0;0;0;0.025;20.0125;0.225;26.8;0;0;0;0;0;43.525;0;155.95;0;0;0;0;0;0;0.275;0;4.175;6.35;0
forest4;0.15;0;0;15.4;0;44.44875;0;0;0;1;6.7;0;0;0;7.625;0;45.2425;0;166.7225;0;0;0;0;0;0;5.075;2.075;5;6.99875;0
forest5;0.025;0;0;36.36;0;4.875;0;0;0;0.8;7.475;0;0;0;0.4;0;59.22;0;450.7525;3.7;0;0;0;0;0;0.025;0;0;1.125;0.25
forest6;0;0;0;10.025;0;24.925;0;0;0;0.025;1.32625;0;0;0;0;0;23.13125;0;214.955;33.4;0;0;0;0;0;0.175;1.725;0;0.575;0.125
restored_forest1;0;0;0;0;0.675;0;0.225;2.15;0.9;31.0875;16.25;0;0;0;0;0;17.9875;0;206.9991191;0;27.025;0;0;0;0;5.075;0;5.4375;0.65;0
restored_forest2;0;0;0;0;1.15;0;0;3.325;0.25;13.175;68.145;11.75;10.075;3.575;0;0;35.0725;0;134.212181;0;49.07;0;0;0;0;9.725;0;71.0125;0.275;0
restored_forest5;0;0;0;0;0.375;1.2;0.325;0;0;16.225;4.45;7.625;0;1.05;0;0;71.3;0;91.09269915;0;32.625;4.425;0;0;0;0.75;0;7.35;0.025;0
restored_forest6;0;0;0;0;0;0;0;0.175;0;54.9725;0.775;7.55;0;22;0;0;38.44625;0;220.2093674;0;90.325;33.77125;0;0;0;9.125;0;25.7175;0.125;0
